VENITURI TOTALE;Casa si conturi la banci;CHELTUIELI TOTALE;Pierdere neta;DATORII;Cifra de afaceri neta;Numar mediu de salariati;ACTIVE IMOBILIZATE - TOTAL;VENITURI IN AVANS;Profitul net;Pierdere bruta;Profitul brut;CHELTUIELI IN AVANS;ACTIVE CIRCULANTE - TOTAL din care:;CUI;CAEN;DENUMIRE;COD_INMATRICULARE
0;644;2681;2681;40490;0;0;867;0;0;2681;0;235;751;41347989;9329;HOBBY TRUCK MOLDOVA S.R.L.;J22/2325/2019
0;572;14266;14266;40070;0;0;3200;0;0;14266;0;236;679;41347989;9329;HOBBY TRUCK MOLDOVA S.R.L.;J22/2325/2019
9666709;444660;8387346;0;1780145;9566161;8;1644300;428623;1048716;0;1279363;11020;1633126;38224749;9312;TTW SPORT DESIGN GRUP SRL;J28/1114/2017
4694854;1110411;3109413;0;1342014;4250807;9;1537797;544865;1550231;0;1585441;0;1938757;38224749;9313;TTW SPORT DESIGN GRUP SRL;J28/1114/2017
300;847;477;186;4;300;0;0;0;0;177;0;0;2996;38083089;9329;IBITZA STYLE SRL;J3/2058/2017
0;986;654;654;4;0;0;0;0;0;654;0;0;3134;38083089;9329;IBITZA STYLE SRL;J3/2058/2017
2472;1640;1607;0;4;2400;0;0;0;793;0;865;0;3789;38083089;9329;IBITZA STYLE SRL;J3/2058/2017
19801;20825;2465;0;113;19801;0;0;0;16772;0;17336;0;22980;38677820;9313;PROKAIZEN S.R.L.;J9/28/2018
4335;39406;183;0;240;4335;0;0;0;3510;0;4152;0;39406;38677820;9313;PROKAIZEN S.R.L.;J9/28/2018
7835;35389;180;0;126;7835;0;0;0;7655;0;7655;0;35783;38677820;9313;PROKAIZEN S.R.L.;J9/28/2018
18533;27695;12843;0;52;15533;0;0;0;5134;0;5690;0;28054;38677820;9313;PROKAIZEN S.R.L.;J9/28/2018
36465;13;19028;0;0;24635;1;20348;0;17014;0;17437;0;97;37953430;9329;PLAYER'S GROUND S.R.L.;J22/2326/2017
74347;3660;103346;29012;46657;49597;1;20348;0;0;28999;0;0;18475;37953430;9329;PLAYER'S GROUND S.R.L.;J22/2326/2017
8540;30852;3764;0;412;8540;0;0;0;4776;0;4776;0;31185;40897011;9329;ANDMONT TRAINING S.R.L.;J33/823/2019
241388;728;127969;0;231380;1236;4;330350;0;113407;0;113419;0;728;37629892;9311;PULSERISE SRL;J22/1472/2017
201036;5774;250029;50864;331686;180786;2;189159;0;0;48993;0;0;5774;37629892;9311;PULSERISE SRL;J22/1472/2017
60632;6267;139043;78483;422506;7139;3;330350;0;0;78411;0;0;6267;37629892;9311;PULSERISE SRL;J22/1472/2017
33054;3208;140721;107704;340964;3692;3;330350;0;0;107667;0;0;3208;37629892;9311;PULSERISE SRL;J22/1472/2017
4;324823;4474;4470;17945;0;0;2808;0;0;4470;0;0;373907;38582305;9329;TURACA EVENTS S.R.L.;J40/20289/2017
0;349750;1519;1519;86;0;0;0;0;0;1519;0;0;351029;38582305;9329;TURACA EVENTS S.R.L.;J40/20289/2017
0;320816;2733;2733;18005;0;0;0;0;0;2733;0;0;370466;38582305;9329;TURACA EVENTS S.R.L.;J40/20289/2017
0;322548;3576;3576;17767;0;0;1034;0;0;3576;0;0;371927;38582305;9329;TURACA EVENTS S.R.L.;J40/20289/2017
61807;5344;472594;410787;1194417;0;0;503475;0;0;410787;0;0;132490;34623496;9329;STARNET IASI SRL;J22/1018/2015
4000;9993;111938;107938;683029;0;0;501974;0;0;107938;0;0;33390;34623496;9329;STARNET IASI SRL;J22/1018/2015
168661;5893;164871;0;2661;148411;2;3819;0;2306;0;3790;0;16474;33960868;9329;KIDS PROTEKT PLAY S.R.L.;J39/20/2015
